lang,len_bin,diff_bin,n,BLEUΔ,chrFΔ,ROUGEΔ
en,medium,easy,4,12.799741105213087,5.832280559218617,0.08727272727272717
en,medium,hard,6,16.75879585100058,12.721750509840115,0.01282051282051283
en,medium,medium,10,0.40027126854866096,-12.673461514735935,-0.049297619047619076
en,short,easy,6,-0.19346412853280348,-15.243068829442782,-0.07575757575757577
en,short,hard,3,-1.66174442077463,-24.96392785677135,-0.13397129186602869
ko,short,easy,10,4.618912039930693,-1.3687425017066317,0.03809523809523805
ko,short,hard,11,8.022020873449675,2.7692138914434214,0.03463203463203459
ko,short,medium,10,5.3840225397428885,1.8651196078920638,0.03809523809523805
