id,base,instr,delta_full
EX-0045,0.7772751558853214,0.0,-0.7772751558853214
EX-0060,15.310245441182436,14.317123154555068,-0.9931222866273686
EX-0044,5.964725726909486,4.048892532133102,-1.9158331947763836
EX-0020,44.003907261254405,41.94435452325487,-2.0595527379995318
EX-0013,8.829928855463525,3.197383344450448,-5.632545511013077
EX-0050,8.175340974854192,2.4092489848483227,-5.76609199000587
EX-0031,8.829928855463525,2.319942766993901,-6.509986088469624
EX-0035,16.451929399933107,3.089055318156697,-13.36287408177641
EX-0017,17.77835117834348,0.0,-17.77835117834348
EX-0038,65.42581046386209,41.94435452325487,-23.48145594060722
