metric,n,mean_base,mean_instr,delta,delta_%,d,CI95_low,CI95_high,p,q
rouge,60,0.2837359022556391,0.2873931623931623,0.0036572601375232,1.2889662916990194,0.0377113523620076,-0.0210930494943653,0.0268409185843395,0.6212479658558298,0.8308967498440221
bleu_sacre,60,19.55871989535325,25.19005338841165,5.631333493058399,28.791932821719524,0.6165900534376312,3.455598063947998,8.054095486082215,0.0001254613648527,0.0003763840945581
chrf,60,36.117922184673226,33.484587809161845,-2.6333343755113816,-7.290935403335153,-0.1867736780673447,-6.241815977714857,0.7809808670225098,0.8308967498440221,0.8308967498440221
