id,chrf,rougeL,bleu,base,instr,delta
EX-0006,58.16618381516767,0.6428571428571428,40.95821416208051,40.95821416208051,70.60374899223851,29.645534830158
EX-0056,66.4147977340299,0.5833333333333334,49.948175834030174,49.948175834030174,68.12455364200612,18.176377807975946
EX-0040,69.62173087720433,0.64,56.989686997411816,56.989686997411816,68.25064500223314,11.260958004821326
EX-0002,50.66095610215092,0.5833333333333334,35.725221457011145,35.725221457011145,45.94387792124753,10.218656464236382
EX-0022,71.02660294024909,0.6956521739130435,58.643275241650834,58.643275241650834,68.25064500223314,9.607369760582309
EX-0019,68.85986764183542,0.6666666666666666,58.643275241650834,58.643275241650834,68.12455364200612,9.481278400355286
EX-0024,57.08401354344752,0.6206896551724137,37.18932461852837,37.18932461852837,42.63678100421447,5.4474563856861025
EX-0007,12.536797210971967,0.0,1.5210995644379715,1.5210995644379717,6.7602298845717375,5.239130320133766
EX-0049,15.608255930472367,0.0,1.664356790958625,1.664356790958625,6.814385179012219,5.1500283880535935
EX-0058,78.07723718478259,0.888888888888889,65.42581046386209,65.42581046386209,68.25064500223314,2.82483453837105
