metric,level,n,mean_base,mean_instr,mean_diff,delta_pct,sd_diff,d,ci_low,ci_high,p_wilcoxon,q_fdr
ROUGE,global,8,0.5462858749999999,0.5526960000000001,0.006410125000000003,1.173401197676632,0.09091327920361014,0.07050812660319768,-0.056089875,0.06249974999999999,1.0,1.0
bleu_sacre,global,8,0.4730578850629138,0.45583868268250394,-0.017219202380409873,-3.639977880948634,0.07134300120470924,-0.2413579761103919,-0.06934127409845645,0.015439957894515854,1.0,1.0
chrf,global,8,0.5514757725579231,0.5450623173472161,-0.006413455210707075,-1.1629622786415013,0.02509447057373408,-0.2555724454063566,-0.024975105439350193,0.005125700383631943,1.0,1.0
